dataset,new,last,full,chain-thaw
SS-Twitter,0.691673542288,0.86150041682,0.842539155916,0.851607579784
SCv2-GEN,0.676694916719,0.69533898694,0.706355936952,0.714406776984
SS-Youtube,0.772946861439,0.898550729533,0.891304344467,0.883252819667
